subject,subject_en,type
Probleme bei der Synchronisation des Scanners mit SAP ERP-System,Problems with the synchronization of the scanner with SAP ERP system,Incident
Fehler beim Projekt-Sync heute vollständig misslungen,A project sync error has occurred today,Incident
Fehlerbericht,Error report,Incident
Medizinische Datenverletzung durch unverschlüsselte Git-Repository-Daten,Medical data loss by unencrypted Git repository data,Incident
Unerwartete Gebühren auf Rechnung,Unexpected fees on account,Incident
Datenschutz und Verschlüsselungsmethoden benötigt,Data protection and encryption methods are required,Request
Kundenservice,Customer service,Request
Systemausfall des Verschlüsselungsprozesses im Medizindaten-System,System failure of the encryption process in the medical data system,Incident
Integration von MATLAB in Smartsheet für medizinische Datenanalyse,Integration of MATLAB into Smartsheet for Medical Data Analysis,Request
Kritisches Problem bezüglich Datensicherheit,Critical Problem With regard to Data Security,Incident
Verfügbare Analysetools für Sage Accounting bei Investitionsoptimierung,Available analysis tools for Sage Accounting at Investment Optimisation,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Datenschutz,Data Protection,Request
Mehrere Integrationsprobleme aufgrund von Server-Überlastungen,Multiple integration problems due to server transfers,Incident
Investment-Prognose-Funktion-Plötzlich-Nicht-Verfügbar-Seit-Heute-Morgen,Investment-prognosis-function-non-available-page-to-day-morgen,Incident
Hinweise zur Synchronisierung von Datenaufbereitungstools,Comments on the synchronization of data preparation tools,Problem
Probleme mit den Web-Analytics-Daten,Problems with Web Analytics data,Incident
Systemanforderungen,System requirements,Request
Kundensupport,Customer support,Request
Antrag auf technische Unterstützung,Application for technical assistance,Incident
Anfrage zur Unterstützung bei Software-Integrationsschäden,Application for software integration damage support,Incident
Probleme mit der Verlautbarkeit medizinischer Daten während einer VR-Ausbildung,Problems with the traceability of medical data during VR training,Problem
Erweiterte Berichtsfunktionen sind dringend notwendig,Additional reporting functions are urgently needed,Change
Ein unerwarteter Rechnungsungsfehler trat heute auf,An unexpected error occurred today,Incident
Problem mit der Rechnung,Problem with account,Problem
kritische Leistungsprobleme bei der SaaS-Plattform,critical performance problems at the SaaS platform,Incident
Bericht über einen Fehler bei der Excel-Integration,Report on an error in Excel integration,Incident
Fehlerschätzung bei Abonnementdienstleistungen,Error assessment for subscription services,Problem
Unterstützung für die Integration von Data Analytics erforderlich,Support for the integration of data Analytics required,Change
Bericht über eine Funktionsstörung der Datenanalysewerkzeuge,Report on a malfunction of the data analysis tool,Problem
Digitale Strategien für erhöhten Verkauf von Smart-Rauchmeldern,Digital strategies for increased sales of smartphones,Request
Anfrage an den Support,Request for Support,Incident
Strategien zur Markengröße mit HubSpot,HubSpot brand size strategies,Request
Probleme bei der Startfunktion der Kampagne,Problems at the start of the campaign,Incident
Probleme beim Anmelden heute Früh,Problems logged in this morning,Incident
Anfrage nach detaillierter Dokumentation zur Integration von Smartsheet in das SaaS-Projektmanagement-Software-Programm,Request for detailed documentation on the integration of Smartsheet into the SaaS project management software program,Request
Anfrage zur Unterstützung bei Dienstausfall,Request for service waste support,Incident
Verlangsamte Ladegeschwindigkeiten auf dem Dashboard,Predictive charging speeds on the Dashboard,Problem
Problem mit Investitionsprognosen,Problem with investment projections,Problem
Technische Sorge betreffend Datensicherung,Technical concerns relating to data security,Problem
Optimierung der Anlagestrategien für unsere Kunden täglich,Optimisation of investment strategies for our customers daily,Request
Fehlermeldung bei Avid Pro Tools,Error message in Avid Pro Tools,Incident
Integration von Kaspersky in Ubuntu,Integration of Kaspersky into Ubuntu,Request
Digitale Strategie-Dienstleistungen für Unternehmen,Digital Strategy Services for Enterprises,Request
"Benutzer meldet temporäre Schwierigkeiten bei dem Projektsteuerungsdashboard, möglicherweise aufgrund von Netzwerkproblemen oder Überlastung des Hintergrundservers","Users report temporary difficulties in project management Dashboard, possibly due to network problems or overload of the background server",Incident
Anfrage zur Preisgestaltung für Digitalmarketing-Dienstleistungen erforderlich,Request for price design for digital marketing services required,Request
Probleme mit OBS Studio und PyCharm-Anwendungen,Problems with OBS Studio and PyCharm Applications,Incident
Investment Analytics,Investment Analytics,Incident
Sicherheitsmaßnahmen für medizinische Daten auf Laptops,Safety measures for medical data on laptops,Request
Probleme bei der Synchronisierung von Kampagnenmetriken,Problems in the synchronization of campaign metrics,Problem
Optimierung von Investitionsstrategien mithilfe von Daten,Optimisation of investment strategies using data,Request
"Kann man Details zur Verschlüsselung medizinischer Daten in AWS-Krankenhaus-IT-Systemen erfahren und wie wird die HIPAA-Kompatibilität gewährleistet, um sensible Patientendaten zu schützen?",Can you learn details about the closure of medical data in AWS Hospital IT systems and how will HIPAA compatibility be ensured to protect sensitive patient data?,Request
Fehlerhafte Investment-Prognosen,Malformed investment forecast,Incident
Datenschutsumbruch gemeldet,Data protection consumption reported,Problem
Bericht über Vorfall mit Hadoop-Problematik,Report on a case with Hadoop problem,Incident
Probleme mit Software-Fehlern,Software Errors,Incident
Optimierung von Google Keep für Marketingzwecke,Optimisation of Google Keep for marketing purposes,Request
Probleme mit den Werkzeugen aufgrund von Software-Issues,Problems with tools due to software issues,Incident
Problem mit den Projekt-Daten,Project data problem,Incident
Anfrage zu Adobe Effects,Question about Adobe Effects,Request
Digitale Strategie-Dienstleistungen,Digital Strategy Services,Request
"Bitten Sie, API-Integrationsoptionen für unsere Projektmanagement-Software-as-a-Service-Plattform zu prüfen",Please check API integration options for our project management software-as-a-service platform,Request
Sichere Zugriffsmöglichkeiten für medizinische Daten,Safe access to medical data,Change
[NO_SUBJECT],[NO_SUBJECT],Incident
Einstellungen von Elasticsearch für Investitionsdatenauswertung optimieren,Optimize Elastic Search settings for investment data assessment,Request
Unterstützung für Kampagnen,Support for campaigns,Incident
Vollständiger Fehler bei der Synchronisation von Google Keep wird gemeldet,Full error occurred when synchronising Google Keep,Incident
Problem mit Projekt-Dashboard,Project Dashboard problem,Problem
Probleme mit dem Kundenservice,Problems with customer service,Problem
Meldung über ein Problem mit der Tracking-Funktion im Website-Analysedashboard,Report about a problem with the tracking function on the website analyzedboard,Incident
Probleme bei der Synchronisierung über verschiedene Geräte,Problems with synchronization of different devices,Incident
Anpassung Rechnungsstellungsoptionen in Dynamics,Adjusting calculation options in Dynamics,Request
Problem mit Investment-Dashborad,Problem mit Investment-Dashborad,Incident
Wachstum,Growth,Request
Frage zur digitalen Strategie-Dienstleistung für Markenwachstum,Question of the digital strategy service for brand growth,Request
Unautorisiertes Zugangsbemühen wurde sofort erkannt,Unauthorised access efforts were immediately recognized,Incident
Bitten um detaillierte Informationen zu digitalen Strategiedienstleistungen und Markenwachstum,Please provide detailed information on digital strategic services and brand growth,Request
SaaS-Plattform-Crash-Issue heute,SaaS-Plattform-Crash-Issue heute,Incident
Anfrage nach Sicherheitsmaßnahmen bei Chromebooks,Request for safety measures at Chromebooks,Request
Probleme mit dem Netzwerk,Network problems,Incident
Projektmanagement,Project Management,Change
Kosteninformationen für die Integration des Hemingway Editors in unsere SaaS-Plattform,Cost information for the integration of Hemingway Editor into our SaaS platform,Request
Sicherheit von medizinischen Daten mit Docker und GitLab,Safety of medical data with Dock and GitLab,Request
Tech Support,Tech Support,Incident
Probleme bei der Funktionalität digitaler Kampagnen,Problems in the functionality of digital campaigns,Incident
Systemanforderungen für JIRA Software Integration,System requirements for JIRA Software Integration,Request
Digitales Markenwachstum,Digital Marker Growth,Request
Fehler bei CyberLink PowerDirector 19,Error in CyberLink PowerDirector 19,Problem
Ungerechtfertigte Brand-Vermeldung wurde gemeldet,Invalid fire notification received,Problem
Technische Anschlussprobleme,Technical connection problems,Problem
Support für Adobe Creative Cloud,Support für Adobe Creative Cloud,Request
Nachricht über den langsamen Ladeprozess des Dashboards,Message about the slow loading process of the Dashboard,Incident
Unerlaubter Zugriff auf medizinische Datensysteme,Unauthorised access to medical data systems,Incident
Probleme mit medizinischen Daten,Medical data problems,Problem
Smart Home,Smart Home,Request
Mehrere Integrationen stellen Probleme dar,Multiple integration problems,Incident
IT-Issue,IT-Issue,Problem
Unerwarteter Verschlüsselungsfehler aufgetreten,Unexpected encryption error,Incident
Ungenauen Investitionsprognosen melden,Report Unfailing Investment Forecasts,Problem
Probleme mit der WLAN-Verbindung,Problems with the Wi-Fi connection,Problem
Technische Störung,Technical Disorder,Incident
Investment Data Analytics Pipeline,Investment Data Analytics Pipeline,Incident
Unterstützung für Projektmanagement SaaS,Support for SaaS project management,Request
Investment-Prognosen funktionieren plötzlich nicht mehr,Investment projections do not work immediately anymore,Incident
Fehler mit digitalen Kampagnen,Digital Campaigns Error,Problem
Frage zur Datenverschlüsselung von Patientendaten auf Apple MacBook Air in Krankenhaus,Question about data encryption of patients' data on Apple MacBook Air in Hospital,Request
Die Data Analytics-Plattform brach über Nacht zusammen,The data Analytics platform brought together by night,Incident
Digitale Strategien für Geschäftswachstum,Digital strategies for business growth,Request
Medizinische Datenschutzfunktionen,Medical data protection functions,Request
Optimierung von Investitionen durch Nutzung von Datenanalytik-Tools,Optimisation of investments using dataanalytic tools,Request
Sicherheitswarnung,Security Warning,Incident
Enquete über Zahlungsmöglichkeiten für Software-Abonnements und Hardware,Enquiries about payment options for software subscriptions and hardware,Request
"Verbesserung der Leistung und Skalierbarkeit des SaaS-Project-Management-Systems, inklusive Update","Improve performance and scaleability of the SaaS project management system, including updates",Change
Versagte Integrationsverbindungen und API-Kompatibilität,Forgotten integration connections and API compatibility,Incident
Sicherung medizinischer Daten bei Gesundheitsversorger,Safety of medical data in the case of healthcare providers,Request
Medizinische Datenschutzmaßnahmen Verbesserung,Improving medical data protection measures,Change
Verbesserung der Investment-Analyse für Microsoft Azure-Lösungen,Improving investment analysis for Microsoft Azure solutions,Request
Hinweis über plötzlich verschwindende Projektdaten,Quick-dry project data indication,Incident
Hilfe bei der Optimierung der Datenanalyse für Anlageentscheidungen,Help in optimising the data analysis for plant decisions,Change
Neuauflage von Rechnungsunterschieden nach Tarifänderungen,New ceiling of account differences after tariff changes,Problem
Unangemessene Unterbrechung gemeldet,Inappropriate interruption reported,Incident
Probleme mit der Systemleistung,System performance problems,Incident
Medizinische Datensicherheit,Medical data security,Request
Informationen zu digitalen Strategie-Dienstleistungen bei der Markengründung,Information on digital strategic services in the creation of the market,Request
Update des Zahlungssystems,Up-to-date of the payment system,Change
[NO_SUBJECT],[NO_SUBJECT],Problem
Technische Schwierigkeit,Technical difficulty,Incident
Anfrage zur Unterstützung,Request for support,Incident
Verbesserung des Anlageportfolios,Improving investment portfolios,Incident
Probleme bei der Verschlüsselung medizinischer Daten,Problems in the encryption of medical data,Problem
Bestätigung autorisierten Zugriffs auf das Krankenhaus-IT-System,Confirmation of authorised access to the hospital IT system,Incident
Tastatur-Fehler bei einer Präsentation,Keyboard Error in Presentation,Incident
Technische Unterstützung Anfrage,Technical support request,Request
Kombination von Analytics-Tools mit KNIME zur Steigerung der Investitionsoptimierung,Combination of Analytics tools with KNIME to increase investment optimization,Request
Sicherheitsprotokolle für die Datensicherheit medizinischer Daten in Krankenhäusern,Safety protocol for the data safety of medical data in hospitals,Request
Kundendienst,Customer Service,Change
Hilfe bei Datenverstoß erforderlich,Help in data loss is required,Problem
Probleme mit IntelliJ IDEA,Problems with IntelliJ IDEA,Problem
Störungen beim Projekt-Deskriptor,Project descriptor interrupts,Incident
Optimierungsmethoden für Anlageanalyse,Optimisation methods for plant analysis,Request
Problem mit dem Starten des Software,Problem Starting Software,Problem
Problem während der Kampagnenstart am heutigen Tag,Problem at the start of the campaign today,Incident
Probleme mit dem NAS-System,Problems with the NAS system,Incident
Sicherheitsanomalie,Security threshold,Problem
"Kann ich Anleitungen zur Sicherung medizinischer Daten in einem PostgreSQL-Umfeld für Krankenhäuser erhalten? Es ist wichtig, dass Patientenakten geschützt sind.",Can I get guidance on the protection of medical data in a PostgreSQL field for hospitals? It is important that patients are protected.,Request
Erlangung von medizinischen Informationen,Acquisition of medical information,Incident
Können weitere Details zu digitalen Marketingstrategien bereitstellen?,Can further details on digital marketing strategies be provided?,Request
Welche Analyse-Tools sind mit Xero und Shopify vereinbar zur Verbesserung der Investitionen?,What analysis tools are compatible with Xero and Shopify to improve investment?,Request
Sicherheitsmaßnahmen für medizinische Daten,Safety measures for medical data,Change
Degradierter Schutz patientenbezogener Daten in den letzten Monaten,Degraded protection of patient data in recent months,Problem
Probleme bei der Zugriffsverwaltung auf medizinische Daten,Problems in access management to medical data,Incident
Forschung zur Wachstumsförderung durch digitale Strategien,Research on the promotion of growth through digital strategies,Request
Unterstützung für Integration von Notion und DataRobot,Support for integration of Notion and DataRobot,Request
Unterstützung für Mini-Beamer-Integration,Mini Beamer integration support,Request
Anfrage zum Fehler im Medien-Daten-Verschlüsselungsprozess,Request for an error in the media data encryption process,Problem
Probleme mit dem Traffic von Websites sinken,Reduce problems with traffic of websites,Incident
Aktualisierung der Marketingmaterialien um den neuen Markenstil und die digitale Strategie zu widerspiegeln,Updating marketing materials to reflect the new market style and digital strategy,Change
Unpräzise Investitions-Prognosen: Generierungsfehler,Inaccurate investment projections: generation errors,Incident
Unterstützung für Docker,Support for dockers,Request
Unerwartete Verzögerungen bei der Portfoliorebalancierung beobachtet,Unexpected delays in portfolio balance,Incident
Sichere medizinische Daten,Safe medical data,Change
Sicherheit medizinischer Daten,Safety of medical data,Request
Kritischer Fehler im Medizinischen Datenspeichersystem,Critical error in medical data storage system,Problem
Medizinische Daten infolge ungeschützten Integrationsprozesses entweichen,Prevent medical data from unsafe integration processes,Incident
Strategie für Markenwachstum im Digitalland,Strategy for Digital Growth,Request
Problem mit Zugriff auf medizinische Akten,Problem with access to medical records,Problem
Optimierung von Ubuntu-Produkten - Bitte sofortigen Umgang,Optimisation of Ubuntu products - Please contact,Change
ClickUp-Issue,ClickUp-Issue,Problem
Verbesserung von Medizindaten in Krankenhaus-Systemen,Improving medical data in hospitals systems,Request
Login-Recht am frühen Nachmittag,Login right on previous afterday,Incident
Sicherheit der Patientendaten,Safety of the patient data,Change
Problematik bei den Investmentberichten,Problems in investment reports,Incident
Unterstützung für die Optimierung der Webseite-Analyse,Support for optimization of web page analysis,Change
Support für Integration von BigCommerce und ClickUp in Projektmanagement,Support for integration of BigCommerce and ClickUp in Project Management,Request
Informationen zur Integration von ClickUp in Microsoft Dynamics 365 für Projektmanagement,Information about the integration of ClickUp into Microsoft Dynamics 365 for Project Management,Request
Verschlußsicherung medizinischer Daten,Closure of medical data,Request
Versicherung medizinischer Daten,Medical data insurance,Request
Anfrage zur Erhöhung der Funktionalität der Mailchimp-Integration,Request to increase the functionality of the Mailchimp integration,Change
Training zur Optimierung von Data Analytics Software,Training to optimise Data Analytics Software,Request
Beratung für die Integration von Wolfram Mathematica erforderlich,Advice for the integration of Wolfram Mathetica,Request
Sicherheitsrichtlinien für medizinische Datenspeicherung,Safety policies for medical data storage,Request
Problem bei der Anzeige der digitalen Werbekampagne,Problem displaying the digital advertising campaign,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Verbessern Sie die Funktionen zur Projektautomatisierung,Improve project automation functions,Change
Unpräzise Investmentberichte melden,Report incorrect investment reports,Problem
Kritisches Website-Problem - Technische Ausfälle,Critical website problem - Technical accidents,Incident
Problem mit den Investitionsberichten,Problem with the investment reports,Incident
Erneuung des Projektmanagement-Dashboards,Renewal of project management Dashboard,Change
Ausnahmen beim Data Analytics Dashboards,Exceptions to Analytics Dashboards,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Netzwerkverbindungsprobleme gemeldet,Network connection problem reported,Problem
Bereitstellung von Informationen zur Maintanzenzeit,Provision of information on maintenance time,Change
Verbessern der Integrationseffizienz,Improving integration efficiency,Change
Verbesserung der Investitionen mit Redis,Improving investment with Redis,Request
Bestätigung von Systemausfällen,Confirmation of system failure,Incident
Verbesserung des Investitionsportfolios,Improving investment portfolios,Request
Frage zum Technischen Support,Question on technical support,Problem
Technische Schwierigkeiten,Technical difficulties,Incident
Verbesserung digitaler Strategien für Produkte,Improving digital strategies for products,Request
Digital Marketing Brand,Digital Marketing Brand,Request
Bestätigung von Softwarekompatibilitätsproblemen bei Marketingbüro,Confirmation of software compatibility problems at marketing office,Problem
Frage zur Jenkins-Integration,Question of Jenkins Integration,Request
Digitale Strategien für,Digital strategies for,Request
Hilfe bei Datenverlustsache,Help on Data Loss,Incident
Maßnahmen zur Sicherstellung der Patientendaten,Measures to ensure patient data,Request
häufiger Absturz des Investment-Optimierungstools während der Datenanalyse,more frequent interruption of the investment optimization tool during data analysis,Incident
Anfrage zur Erhöhung der Sicherheitsmaßnahmen für medizinische Daten in den IT-Systemen des Krankenhauses,Request for increased safety measures for medical data in the IT systems of the hospital,Change
Einblicke in digitale Strategien für die Verstärkung des Markenwachstums?,Focus on digital strategies for strengthening the growth of brands?,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Unbefugtes Zugriffsversuch erkannt,Unauthorised access test detected,Incident
Unterstützung benötigt,Support is required,Problem
Betreff: Dringende Medien-Daten-Sicherheitslücke und Notwendigkeit von Maßnahmen zur Verbesserung der Sicherheitsprotokolle,Subject: Emergency media data security gaps and the need for measures to improve the safety protocol,Problem
Probleme mit Investment-Daten-Berichten,Problems with investment data reports,Problem
Digitale Dienste,Digital Service,Request
Unterstützung bei Investitionsanalyse,Support for investment analysis,Request
Folge für technischen Support,Follow-up to technical support,Incident
Enquête sur les protocoles de sécurité pour protéger les données médicales sur les touches anti-idiot sur nos appareils,Investigation of safety protocols to protect medical data on anti-idiot attacks on our devices,Request
Anfrage zur Unterstützung bei einem Verschlüsselungsfehler,Request for support when encryption error,Incident
Problem mit Geräten,Device problem,Incident
Protokollierter Integrationfehler,Protocol integration errors,Problem
Aktualisierung der Integrationsfunktionen für die SaaS-Plattform,Update integration functions for the SaaS platform,Change
Probleme mit Serverausfällen,Cannot initialise Evolution's mail component.,Incident
Probleme bei der medizinischen Datenregistrierung,Medical data recording problems,Problem
Hilfe bei Anlagenproblemen,Support for plant problems,Incident
Sicherheitsprotocol für Epson Scanner in einem Gesundheitsversorgungseinrichtung,Safety protocol for Epson Scanner in a health-care facility,Request
Das Datenanalyse-DashBoard funktioniert nicht,The data analysis Dashboard does not work,Problem
Medizinische Datenaufschlüsselungsprobleme,Medical data retrieval problems,Incident
Unterstützung für eine Datenverletzung,Support for data abuse,Incident
Unerwartete Verschlüsselungsfehler bei der Zugänglichkeit der medizinischen Daten,Unexpected encryption error in access to medical data,Problem
Digitale Strategien für Markenwachstum,Digital strategies for brand growth,Request
Verbesserung von Investment-Portfolios durch Analytics-Tools,Improving investment portfolios by Analytics tools,Request
Probleme auf dem System,System problems,Incident
Fehler bei der Scannersynchronisation,Error during scanner sync,Incident
Systemanforderungen für die Integration unseres Projektmgmt-SaaS,System requirements for the integration of our projectmgmt-SaaaS,Request
Kundendienst-Anfrage,Client service request,Incident
Optimierung der Investmentstrategie,Optimisation of the investment strategy,Request
HIPAA-Kompatibilität medizinischer Daten,HIPAA compatibility of medical data,Request
QuickBooks-Issue,QuickBooks-Issue,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Unverhofftes Datenverlustpektorium nach Update auf Perl 5.32,Unexpected data loss spectrorium after update on Perl 5.32,Problem
Probleme bei der Anmeldung auf verschiedenen Geräten,Problems when logging into different devices,Incident
Verschlüsselung für medizinische Daten,Closure for medical data,Change
Hinweise zu Problemen mit den Aktualisierungen des Investitionsportfolios,References to problems with updating the investment portfolio,Incident
Sichere Medizinische Daten mit Kaspersky,Secure medical data with Kaspersky,Request
Datensperrissue,Data _persissisue,Incident
Verbesserung des digitalen Markenwachstums,Improving the digital growth of brands,Request
Interesse an Projektmanagementtools,Project Management Tools,Request
Notwendigkeit der Optimierung von Investitionsanalyse-Werkzeugen,Need for optimisation of investment analysis tools,Request
Schutz von Medizinischen Daten-Systemen,Protection of medical data systems,Request
Anfrage zur Unterstützung bei Meetings mit Cisco Webex,Request for support for meetings with Cisco Webex,Request
Technische Problemlösung,Technical solution,Incident
Hilfe bei Datenverlust erforderlich,Help in data loss is required,Problem
Einbinden von Ansible in Docker für automatisierte Deployment-Verfahren,Connectable in dock for automated deployment procedures,Change
Optimierung von Investitionen mithilfe von Datenanalyse,Optimisation of investments using data analysis,Request
Verbesserung der Dokumentenverwaltungstools,Improvement of document management tools,Change
Sicherheitsmaßnahmen für HIPAA-Kompatibilität bei medizinischen Datenspeicherungslösungen,Safety measures for HIPAA compatibility with medical data storage solutions,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Erkannter autorisierter Zugriffsversuch,Acknowledging authorised access test,Incident
Problem mit dem Dashboard,Problem with the Dashboard,Problem
Das fehlerhafte funktionsfähige Sicherheitsbackup-System,The missing feature is a backup system.,Incident
Anfrage Unterstützung,Request Support,Request
Strategien für das Markenwachstum,Strategy for the growth of the brand,Request
Effektive Sicherung medizinischer Daten,Effective protection of medical data,Request
Neue Aktualisierung,New Update,Change
Nötige Unterstützung bei der Kundendienstleistung,Necessary support for customer service,Incident
Probleme mit dem Demo-Link,Problems with daemon link,Incident
Digitale Strategien zur Förderung des Markenwachstums,Digital strategies to promote market growth,Request
Verstoß gegen Datensicherheit,Understanding Data Security,Incident
Optimierung von Smart Türschloss SAP-Integration,Optimisation of Smart Door Lock SAP integration,Request
Hilfe bei Sicherheitslücken,Help in Safety Accidents,Incident
Fehlschlagende Integration der SaaS-Plattform,Failed integration of SaaS platform,Incident
Verbesserung der Ubiquiti UniFi Dream Machine für Digitalmarketing,Improved Ubiquiti UniFi Dream Machine for Digital Marketing,Request
Aktualisierung der digitale Marketingleitstrategie,Updating the digital marketing management strategy,Change
Einbinden Bitdefender Antivirus Plus,Join Bitdefender Antivirus Plus,Request
Verbesserung der Investitionsdatenanalyse-Dienstleistungen,Improving investment data analysis services,Request
Unterstützung für Marketingkampagnen erforderlich,Support for marketing campaigns is necessary,Incident
Bericht über Datenverlust während eines Google Meet-Sitzungsfehlers,Report on data loss during a Google Meeting error,Incident
Frage zur Wiederherstellung nach Datenabbruch,Question about restoring after data is lost,Incident
Unterstützung für Softwareprobleme,Support for software problems,Incident
Einbinden von Google Meet,Join Google Meet,Change
Einzug auf medizinische Daten heute abgelehnt,Access to medical data rejected today,Incident
Projektrahmen,Project terms,Request
Probleme bei der Synchronisierung von ClickUp und GitLab,Problems with the synchronization of ClickUp and GitLab,Problem
Nötige Unterstützung für Marketingkampagnen,Necessary support for marketing campaigns,Incident
Anfrage zu Sicherheitsmaßnahmen für medizinische Daten,Request for safety measures for medical data,Request
Problem mit ungewöhnlichen Abweichungen in den Investitionsmustern,Problem with unusual differences in investment patterns,Incident
Anzeige von aktualisierten Kampagnendaten anzeigen,Show updated campaign data,Incident
Projekt-Fristen synchronisieren sich nicht korrekt,Project schedules are not synced correctly,Incident
